85,Paul Henriot,2012,7,440.00
79,Karin Josephs,2012,7,1863.40
34,Mario Pontes,2012,7,1813.00
84,Mary Saveley,2012,7,670.80
76,Pascale Cartrain,2012,7,3730.00
34,Mario Pontes,2012,7,1444.80
14,Yang Wang,2012,7,625.20
68,Michael Holz,2012,7,2490.50
88,Paula Parente,2012,7,517.80
35,Carlos Hernández,2012,7,1119.90
20,Roland Mendel,2012,7,2018.60
13,Francisco Chang,2012,7,100.80
56,Henriette Pfalzheim,2012,7,1746.20
61,Bernardo Batista,2012,7,448.00
65,Paula Wilson,2012,7,624.80
20,Roland Mendel,2012,7,2464.80
24,Maria Larsson,2012,7,724.50
7,Frédérique Citeaux,2012,7,1176.00
87,Pirkko Koskitalo,2012,7,364.80
25,Peter Franken,2012,7,4031.00
33,Manuel Pereira,2012,7,1101.20
89,Karl Jablonski,2012,7,676.00
75,Art Braunschweiger,2012,8,48.00
87,Pirkko Koskitalo,2012,8,1376.00
65,Paula Wilson,2012,8,1456.00
63,Horst Kloss,2012,8,2142.40
85,Paul Henriot,2012,8,538.60
49,Giovanni Rovelli,2012,8,307.20
80,Miguel Angel Paolino,2012,8,420.00
52,Alexander Feuer,2012,8,1200.80
5,Christina Berglund,2012,8,1488.80
44,Renate Messner,2012,8,468.00
5,Christina Berglund,2012,8,613.20
69,Alejandra Camino,2012,8,86.50
69,Alejandra Camino,2012,8,155.40
46,Carlos González,2012,8,1414.80
44,Renate Messner,2012,8,1452.00
63,Horst Kloss,2012,8,2179.20
63,Horst Kloss,2012,8,3016.00
67,Janete Limeira,2012,8,924.00
66,Maurizio Moroni,2012,8,89.00
11,Victoria Ashworth,2012,8,479.40
15,Pedro Afonso,2012,8,2169.00
61,Bernardo Batista,2012,8,552.80
81,Anabela Domingues,2012,8,1296.00
80,Miguel Angel Paolino,2012,8,848.70
65,Paula Wilson,2012,8,1887.60
85,Paul Henriot,2012,9,121.60
46,Carlos González,2012,9,1050.60
7,Frédérique Citeaux,2012,9,1420.00
37,Patricia McKenna,2012,9,3127.00
67,Janete Limeira,2012,9,349.50
49,Giovanni Rovelli,2012,9,608.00
86,Rita Müller,2012,9,755.00
76,Pascale Cartrain,2012,9,2708.80
30,José Pedro Freyre,2012,9,1242.00
80,Miguel Angel Paolino,2012,9,954.40
55,Rene Phillips,2012,9,4157.00
69,Alejandra Camino,2012,9,498.50
48,Fran Wilson,2012,9,424.00
2,Ana Trujillo,2012,9,88.80
37,Patricia McKenna,2012,9,1762.00
18,Janine Labrune,2012,9,268.80
77,Liz Nixon,2012,9,336.00
86,Rita Müller,2012,9,1614.80
63,Horst Kloss,2012,9,182.40
65,Paula Wilson,2012,9,2327.00
38,Helen Bennett,2012,9,516.80
65,Paula Wilson,2012,9,2835.00
48,Fran Wilson,2012,9,288.00
38,Helen Bennett,2012,10,240.40
80,Miguel Angel Paolino,2012,10,1191.20
38,Helen Bennett,2012,10,144.00
